model,noise_type,sigma,image,psnr,ssim,lpips,psnr_noisy,ssim_noisy,lpips_noisy,inference_ms
vae,gaussian,15,test066.png,31.123244673565715,0.9232854895242928,0.28629153966903687,24.629984098421108,0.2731519005235375,0.8662048578262329,
dncnn,gaussian,15,test067.png,27.649160380610745,0.9269313255497686,0.053055036813020706,24.72672933525569,0.8722807169756296,0.08766262978315353,
vae,gaussian,15,test067.png,17.087629574200296,0.3152696502153605,0.6716572642326355,24.72672933525569,0.8722807169756296,0.08766262978315353,
dncnn,gaussian,15,test068.png,29.065315375389645,0.9256568407375014,0.04628186672925949,25.410913256005347,0.699724539398898,0.2014765441417694,
vae,gaussian,15,test068.png,19.61669032998366,0.49421892020554703,0.6009277701377869,25.410913256005347,0.699724539398898,0.2014765441417694,
dncnn,gaussian,25,test001.png,25.78788559723968,0.7386540944217739,0.20961663126945496,20.4874572470192,0.5659020649854657,0.3528212904930115,1.4893605995894177
vae,gaussian,25,test001.png,19.967201807431852,0.30841496442191,0.738650918006897,20.4874572470192,0.5659020649854657,0.3528212904930115,40.58397800035891
dncnn,gaussian,25,test002.png,30.045111591515223,0.8681074490068152,0.11870938539505005,20.935631701355696,0.3501975400254742,0.6764006018638611,
vae,gaussian,25,test002.png,23.360104328508147,0.6445873790076668,0.5501869320869446,20.935631701355696,0.3501975400254742,0.6764006018638611,
dncnn,gaussian,25,test003.png,29.790100171969947,0.8521670125513746,0.21210114657878876,20.319312946338176,0.32249583715008473,0.7319269180297852,
vae,gaussian,25,test003.png,21.8759147325167,0.6319213239624015,0.6311705112457275,20.319312946338176,0.32249583715008473,0.7319269180297852,
dncnn,gaussian,25,test004.png,30.495934232022034,0.8427280014533247,0.15819847583770752,20.236546124868312,0.3293121830398949,0.8439331650733948,
vae,gaussian,25,test004.png,24.83081431188031,0.5911931250006088,0.5619789958000183,20.236546124868312,0.3293121830398949,0.8439331650733948,
dncnn,gaussian,25,test005.png,27.454995555134776,0.8232385991677306,0.19372327625751495,20.888315458696482,0.4839306952135992,0.5463145971298218,
vae,gaussian,25,test005.png,21.663777493503016,0.47644226858223754,0.6644333600997925,20.888315458696482,0.4839306952135992,0.5463145971298218,
dncnn,gaussian,25,test006.png,32.46477919213858,0.8725967331276203,0.16855253279209137,20.69445226269124,0.2530017852279524,0.8691579699516296,
vae,gaussian,25,test006.png,27.263065080141228,0.7550194886963892,0.42628949880599976,20.69445226269124,0.2530017852279524,0.8691579699516296,
dncnn,gaussian,25,test007.png,28.574230465428144,0.8230118100992719,0.14745184779167175,20.32273616844425,0.4734810254821526,0.5869845747947693,
vae,gaussian,25,test007.png,20.72049876449784,0.4077876705401942,0.6763686537742615,20.32273616844425,0.4734810254821526,0.5869845747947693,
dncnn,gaussian,25,test008.png,26.22039622891792,0.7713158237228019,0.19568420946598053,20.40193567593885,0.5272972487178612,0.48893818259239197,
vae,gaussian,25,test008.png,19.515256829819393,0.31297544229572954,0.7554454803466797,20.40193567593885,0.5272972487178612,0.48893818259239197,
dncnn,gaussian,25,test009.png,28.85953563894303,0.8310516918049121,0.1676488071680069,20.61866236502393,0.4143876224971978,0.6364233493804932,
vae,gaussian,25,test009.png,21.352860291583436,0.5167463844041389,0.6129039525985718,20.61866236502393,0.4143876224971978,0.6364233493804932,
dncnn,gaussian,25,test010.png,29.654884540953805,0.8159686548930959,0.16519637405872345,20.183621013856655,0.3373459510790523,0.7711960077285767,
vae,gaussian,25,test010.png,24.155705083688808,0.5586078824923585,0.5928788185119629,20.183621013856655,0.3373459510790523,0.7711960077285767,
dncnn,gaussian,25,test011.png,28.67558438020636,0.8638132623190071,0.08651995658874512,20.691759029646846,0.5355917185706599,0.46982330083847046,
vae,gaussian,25,test011.png,18.696905658828896,0.4036101277454077,0.6182239055633545,20.691759029646846,0.5355917185706599,0.46982330083847046,
dncnn,gaussian,25,test012.png,28.32882134396071,0.7870278638560472,0.18052645027637482,20.212557734807078,0.4457981269811309,0.5952117443084717,
vae,gaussian,25,test012.png,21.825857107358246,0.37475541196064305,0.7174822092056274,20.212557734807078,0.4457981269811309,0.5952117443084717,
dncnn,gaussian,25,test013.png,29.458820839365863,0.8194751682949744,0.2219533920288086,20.229814630358703,0.3761367826871002,0.7364342212677002,
vae,gaussian,25,test013.png,23.799688293909863,0.5002920179797133,0.6409364938735962,20.229814630358703,0.3761367826871002,0.7364342212677002,
dncnn,gaussian,25,test014.png,30.61015683291923,0.8421202857872796,0.16081804037094116,20.315041252335657,0.2976032804858486,0.7894712090492249,
vae,gaussian,25,test014.png,23.491826688712266,0.6324168268608352,0.5873124003410339,20.315041252335657,0.2976032804858486,0.7894712090492249,
dncnn,gaussian,25,test015.png,27.202936159025157,0.7866010671703638,0.179632306098938,20.454581897502713,0.4687263637993404,0.5458369255065918,
vae,gaussian,25,test015.png,20.79230149442584,0.432948236670002,0.6958898901939392,20.454581897502713,0.4687263637993404,0.5458369255065918,
dncnn,gaussian,25,test016.png,27.819064688914672,0.852759173737831,0.10228585451841354,20.275790694516544,0.5750695639986182,0.443893164396286,
vae,gaussian,25,test016.png,17.9538051005423,0.34677209860411745,0.6780608892440796,20.275790694516544,0.5750695639986182,0.443893164396286,
dncnn,gaussian,25,test017.png,32.48894480961181,0.8446282662700989,0.1981389969587326,20.813990452797498,0.23457611089400252,0.873956024646759,
vae,gaussian,25,test017.png,27.543828738537023,0.7097267269434755,0.47635191679000854,20.813990452797498,0.23457611089400252,0.873956024646759,
dncnn,gaussian,25,test018.png,32.72639717028933,0.8751120904346457,0.14507830142974854,20.342977650551894,0.22372666024321627,0.9077998399734497,
vae,gaussian,25,test018.png,26.93273963396905,0.7485493420288272,0.459035187959671,20.342977650551894,0.22372666024321627,0.9077998399734497,
dncnn,gaussian,25,test019.png,28.112022459819773,0.8030418791090735,0.13069523870944977,20.5198638411473,0.40974861953325525,0.5000336170196533,
vae,gaussian,25,test019.png,21.059041875225258,0.5092406451885585,0.6513904929161072,20.5198638411473,0.40974861953325525,0.5000336170196533,
dncnn,gaussian,25,test020.png,28.743961005055752,0.8289040103201679,0.16891837120056152,20.56078738266006,0.3406210413975576,0.6281449198722839,
vae,gaussian,25,test020.png,20.682554255631352,0.6077256876526633,0.6089948415756226,20.56078738266006,0.3406210413975576,0.6281449198722839,
dncnn,gaussian,25,test021.png,26.239535551678284,0.8656022422149366,0.07796928286552429,20.75183955749591,0.6228835559884416,0.3162025809288025,
vae,gaussian,25,test021.png,17.231490906279408,0.34008663197076083,0.7162814736366272,20.75183955749591,0.6228835559884416,0.3162025809288025,
dncnn,gaussian,25,test022.png,26.96904475400307,0.8135544758066099,0.15184593200683594,20.543991076847597,0.5857365272514621,0.3796796500682831,
vae,gaussian,25,test022.png,18.840622458832136,0.29713884716926187,0.6997399926185608,20.543991076847597,0.5857365272514621,0.3796796500682831,
dncnn,gaussian,25,test023.png,28.66944962626507,0.850237458182656,0.12022306770086288,20.389275306510942,0.4349310345915893,0.6399813890457153,
vae,gaussian,25,test023.png,21.151810983974233,0.49018016051396873,0.6409894227981567,20.389275306510942,0.4349310345915893,0.6399813890457153,
dncnn,gaussian,25,test024.png,28.57995517712157,0.8613384921056784,0.1184760183095932,20.834324293007775,0.4977193265390258,0.5221458673477173,
vae,gaussian,25,test024.png,20.45903369726842,0.5012184954570565,0.5505518913269043,20.834324293007775,0.4977193265390258,0.5221458673477173,
dncnn,gaussian,25,test025.png,29.368397631152263,0.9071271594073639,0.1073455959558487,20.294830773470657,0.3533982663986008,0.7735467553138733,
vae,gaussian,25,test025.png,21.399969310458026,0.6466702719710292,0.5165420770645142,20.294830773470657,0.3533982663986008,0.7735467553138733,
dncnn,gaussian,25,test026.png,28.500425446378447,0.8001519167399844,0.1645289659500122,20.362394416127856,0.4382484430663513,0.6004820466041565,
vae,gaussian,25,test026.png,22.22540407517911,0.48231401023947956,0.627487301826477,20.362394416127856,0.4382484430663513,0.6004820466041565,
dncnn,gaussian,25,test027.png,29.83524535039427,0.8220428215967384,0.19613082706928253,20.28904742728695,0.34164208624099585,0.8125509023666382,
vae,gaussian,25,test027.png,24.13914904973285,0.5711134794725624,0.5872641205787659,20.28904742728695,0.34164208624099585,0.8125509023666382,
dncnn,gaussian,25,test028.png,32.92067887252898,0.8610251152694673,0.14750555157661438,22.45127020469065,0.2776870219906918,0.6596938967704773,
vae,gaussian,25,test028.png,25.207080044453008,0.735692220679815,0.52449631690979,22.45127020469065,0.2776870219906918,0.6596938967704773,
dncnn,gaussian,25,test029.png,24.341879325757333,0.8372333945792819,0.13372719287872314,20.509671967628343,0.6484991852535478,0.3181215822696686,
vae,gaussian,25,test029.png,16.57612203190682,0.29731545023811196,0.8227002620697021,20.509671967628343,0.6484991852535478,0.3181215822696686,
dncnn,gaussian,25,test030.png,29.750670781143857,0.7970824582750038,0.19056490063667297,20.179314907657062,0.340048327097288,0.7454580664634705,
vae,gaussian,25,test030.png,23.895711677752985,0.5158552178134315,0.6206018924713135,20.179314907657062,0.340048327097288,0.7454580664634705,
dncnn,gaussian,25,test031.png,24.49479449686091,0.8216338073378717,0.13010770082473755,20.281663987220007,0.7057542979951342,0.28027331829071045,
vae,gaussian,25,test031.png,17.911235830820978,0.15983769621756336,0.8758409023284912,20.281663987220007,0.7057542979951342,0.28027331829071045,
